region_id,anomaly_start,anomaly_end,length
1,281,281,1
1,561,561,1
2,281,281,1
2,561,561,1
3,281,281,1
3,561,561,1
4,281,281,1
4,561,561,1
5,281,281,1
5,561,561,1
6,281,281,1
6,561,561,1
7,281,281,1
7,561,561,1
8,281,281,1
11,281,281,1
11,561,561,1
12,281,281,1
12,561,561,1
13,281,281,1
13,561,561,1
14,0,0,1
14,281,281,1
14,561,561,1
15,0,1,2
15,281,281,1
15,562,562,1
16,0,0,1
16,281,281,1
16,561,561,1
17,0,1,2
17,281,281,1
17,562,562,1
18,0,1,2
18,281,281,1
18,562,562,1
19,0,1,2
19,281,281,1
19,562,562,1
20,0,1,2
20,281,281,1
20,562,562,1
21,0,1,2
21,282,282,1
21,566,566,1
22,0,1,2
22,282,282,1
22,566,566,1
23,0,1,2
23,285,285,1
24,1,1,1
24,285,285,1
25,0,1,2
25,285,285,1
26,0,1,2
26,285,285,1
27,0,1,2
27,282,282,1
27,566,566,1
28,0,1,2
28,282,282,1
28,562,562,1
29,0,1,2
29,281,281,1
29,562,562,1
30,282,282,1
31,0,1,2
31,281,281,1
31,562,562,1
32,0,1,2
32,282,282,1
32,566,566,1
33,0,1,2
33,281,281,1
33,562,562,1
34,0,1,2
34,281,281,1
34,562,562,1
35,0,1,2
35,281,281,1
35,562,562,1
36,0,1,2
36,281,281,1
36,562,562,1
37,0,1,2
37,281,281,1
37,562,562,1
38,0,1,2
38,281,281,1
39,0,1,2
39,281,281,1
39,562,562,1
40,0,1,2
40,281,281,1
40,562,562,1
41,0,1,2
41,281,281,1
41,561,561,1
42,0,1,2
42,281,281,1
42,562,562,1
43,0,1,2
43,281,281,1
43,562,562,1
44,0,1,2
44,281,281,1
45,0,1,2
45,281,281,1
46,0,1,2
46,282,282,1
47,0,1,2
47,282,282,1
48,0,1,2
48,282,282,1
49,0,1,2
49,282,282,1
50,0,2,3
50,281,281,1
51,0,2,3
51,281,281,1
51,289,289,1
52,0,1,2
52,281,281,1
52,289,289,1
53,0,2,3
53,281,281,1
53,289,289,1
54,0,2,3
54,281,281,1
54,289,289,1
55,0,2,3
55,281,281,1
55,289,289,1
56,0,2,3
56,281,281,1
56,289,289,1
57,0,2,3
57,281,281,1
57,289,289,1
58,0,2,3
58,281,281,1
58,289,289,1
59,0,1,2
59,281,281,1
60,0,2,3
60,282,282,1
61,0,2,3
61,282,282,1
62,0,2,3
62,282,282,1
63,0,2,3
63,282,282,1
64,0,2,3
64,282,282,1
65,0,1,2
65,282,282,1
66,0,1,2
66,282,282,1
67,0,1,2
67,282,282,1
68,0,1,2
68,285,285,1
75,1,2,2
76,0,2,3
76,285,285,1
76,567,567,1
77,0,2,3
77,285,285,1
78,0,2,3
78,285,285,1
79,0,2,3
79,285,285,1
80,0,2,3
80,285,285,1
81,0,2,3
81,285,285,1
82,0,2,3
82,285,285,1
83,0,2,3
83,285,285,1
84,1,2,2
84,285,285,1
85,1,2,2
85,286,286,1
86,1,2,2
87,1,2,2
88,0,3,4
88,285,285,1
89,0,3,4
89,285,285,1
90,1,2,2
91,1,2,2
92,0,3,4
92,285,285,1
93,0,3,4
93,285,285,1
94,0,3,4
94,285,285,1
95,0,3,4
95,285,285,1
96,0,3,4
96,285,285,1
97,0,2,3
97,285,285,1
98,0,3,4
98,285,285,1
99,0,3,4
99,285,285,1
100,0,3,4
100,285,285,1
101,0,3,4
101,285,285,1
102,0,3,4
102,285,285,1
103,0,2,3
103,285,285,1
104,1,1,1
104,285,285,1
105,1,1,1
105,285,285,1
106,0,2,3
106,285,285,1
107,0,2,3
107,285,285,1
108,285,285,1
112,285,285,1
113,0,1,2
113,281,281,1
113,562,562,1
114,0,1,2
114,282,282,1
114,566,566,1
115,0,1,2
115,282,282,1
115,566,566,1
116,0,1,2
116,285,285,1
117,281,281,1
117,561,561,1
118,1,2,2
118,285,285,1
158,281,281,1
159,281,281,1
160,281,281,1
161,281,281,1
162,281,281,1
162,561,561,1
163,281,281,1
163,561,561,1
164,281,281,1
168,281,281,1
169,281,281,1
169,561,561,1
170,281,281,1
170,561,561,1
171,281,281,1
171,561,561,1
172,281,281,1
172,561,561,1
173,281,281,1
173,561,561,1
174,281,281,1
174,561,561,1
175,281,281,1
175,561,561,1
176,281,281,1
176,561,561,1
177,281,281,1
177,561,561,1
275,281,281,1
276,281,281,1
277,281,281,1
278,281,281,1
279,281,281,1
280,281,281,1
287,281,281,1
288,281,281,1
289,281,281,1
290,281,281,1
291,281,281,1
292,281,281,1
293,281,281,1
294,281,281,1
355,110,110,1
355,236,236,1
355,399,399,1
355,525,525,1
356,110,110,1
356,236,236,1
356,399,399,1
356,525,525,1
357,110,110,1
357,236,236,1
357,399,399,1
357,525,525,1
358,110,110,1
358,236,236,1
358,400,400,1
358,525,525,1
359,110,110,1
359,236,236,1
359,400,400,1
359,525,525,1
360,110,110,1
360,236,236,1
360,399,399,1
360,525,525,1
361,110,110,1
361,236,236,1
361,399,399,1
361,525,525,1
362,110,110,1
362,236,236,1
362,526,526,1
363,112,112,1
363,236,236,1
363,526,526,1
364,112,112,1
364,236,236,1
364,526,526,1
365,110,110,1
365,236,236,1
365,399,399,1
365,525,525,1
366,110,110,1
366,236,236,1
366,399,399,1
366,525,525,1
367,110,110,1
367,236,236,1
367,398,398,1
367,525,525,1
368,110,110,1
368,236,236,1
368,398,398,1
368,525,525,1
369,110,110,1
369,236,236,1
369,398,398,1
369,525,525,1
370,110,110,1
370,236,236,1
370,398,398,1
370,525,525,1
371,110,110,1
371,236,236,1
371,398,398,1
371,525,525,1
372,110,110,1
372,236,236,1
372,398,398,1
372,525,525,1
373,110,110,1
373,236,236,1
373,398,398,1
373,525,525,1
374,110,110,1
374,236,236,1
374,398,398,1
374,525,525,1
375,110,110,1
375,236,236,1
375,398,398,1
375,525,525,1
376,110,110,1
376,236,236,1
376,399,399,1
376,526,526,1
377,110,110,1
377,236,236,1
377,526,526,1
378,112,112,1
378,236,236,1
378,526,526,1
379,110,110,1
379,236,236,1
379,526,526,1
380,112,112,1
380,236,236,1
380,526,526,1
381,110,110,1
381,236,236,1
381,400,400,1
381,526,526,1
382,110,110,1
382,236,236,1
382,399,399,1
382,525,525,1
383,110,110,1
383,236,236,1
383,398,398,1
383,525,525,1
384,110,110,1
384,236,236,1
384,526,526,1
385,110,110,1
385,236,236,1
385,398,398,1
385,525,525,1
386,110,110,1
386,236,236,1
386,399,399,1
386,526,526,1
387,110,110,1
387,236,236,1
387,398,398,1
387,525,525,1
388,109,109,1
388,236,236,1
388,398,398,1
388,525,525,1
389,109,109,1
389,236,236,1
389,398,398,1
389,525,525,1
390,109,109,1
390,236,236,1
390,398,398,1
390,525,525,1
391,109,109,1
391,236,236,1
391,398,398,1
391,525,525,1
392,110,110,1
392,236,236,1
392,526,526,1
393,108,108,1
393,236,236,1
393,397,397,1
393,526,526,1
394,108,108,1
394,236,236,1
394,397,397,1
394,526,526,1
395,108,108,1
395,236,236,1
395,397,397,1
395,526,526,1
396,108,108,1
396,116,116,1
396,236,236,1
396,397,397,1
396,526,526,1
397,109,109,1
397,236,236,1
397,398,398,1
397,525,525,1
398,108,108,1
398,116,116,1
398,236,236,1
398,398,398,1
398,526,526,1
399,109,109,1
399,236,236,1
399,398,398,1
399,526,526,1
400,109,109,1
400,236,236,1
400,398,398,1
400,526,526,1
401,109,109,1
401,236,236,1
401,398,398,1
401,526,526,1
402,109,109,1
402,236,236,1
402,398,398,1
402,526,526,1
403,109,109,1
403,236,236,1
403,398,398,1
403,526,526,1
404,109,109,1
404,236,236,1
404,398,398,1
404,526,526,1
405,109,109,1
405,236,236,1
405,397,397,1
405,526,526,1
406,108,108,1
406,116,116,1
406,236,236,1
406,397,397,1
406,526,526,1
407,108,108,1
407,116,116,1
407,236,236,1
407,397,397,1
407,526,526,1
408,108,108,1
408,116,116,1
408,236,236,1
408,397,397,1
408,526,526,1
409,108,108,1
409,116,116,1
409,236,236,1
409,397,397,1
409,526,526,1
410,108,108,1
410,116,116,1
410,236,236,1
410,397,397,1
410,526,526,1
411,109,109,1
411,236,236,1
411,397,397,1
411,526,526,1
412,108,108,1
412,116,116,1
412,236,236,1
412,397,397,1
412,526,526,1
413,109,109,1
413,236,236,1
413,397,397,1
413,526,526,1
414,109,109,1
414,236,236,1
414,398,398,1
414,526,526,1
415,109,109,1
415,236,236,1
415,398,398,1
415,526,526,1
416,109,109,1
416,236,236,1
416,397,397,1
416,526,526,1
417,109,109,1
417,236,236,1
417,398,398,1
417,526,526,1
418,109,109,1
418,236,236,1
418,398,398,1
418,526,526,1
419,110,110,1
419,236,236,1
419,526,526,1
420,112,112,1
420,236,236,1
420,398,398,1
420,526,526,1
421,109,109,1
421,236,236,1
421,398,398,1
421,526,526,1
422,110,110,1
422,236,236,1
422,526,526,1
423,110,110,1
423,236,236,1
423,526,526,1
424,112,112,1
424,236,236,1
424,526,526,1
425,112,112,1
425,236,236,1
425,526,526,1
426,112,112,1
426,236,236,1
426,526,526,1
427,112,112,1
427,236,236,1
427,526,526,1
428,112,112,1
428,236,236,1
428,526,526,1
429,112,112,1
429,236,236,1
429,526,526,1
430,112,112,1
430,236,236,1
430,526,526,1
431,112,112,1
431,236,236,1
431,526,526,1
432,112,112,1
432,236,236,1
432,526,526,1
433,112,112,1
433,236,236,1
433,526,526,1
434,112,112,1
434,236,236,1
434,526,526,1
435,112,112,1
435,236,236,1
435,526,526,1
436,112,112,1
436,236,236,1
436,526,526,1
437,112,112,1
437,236,236,1
437,526,526,1
438,112,112,1
438,236,236,1
438,526,526,1
439,112,112,1
439,236,236,1
439,526,526,1
440,112,112,1
440,236,236,1
440,526,526,1
441,112,112,1
441,236,236,1
441,526,526,1
442,112,112,1
442,236,236,1
442,526,526,1
443,112,112,1
443,236,236,1
443,526,526,1
444,112,112,1
444,236,236,1
444,526,526,1
445,112,112,1
445,236,236,1
445,526,526,1
446,112,112,1
446,236,236,1
446,526,526,1
447,112,112,1
447,236,236,1
447,526,526,1
448,112,112,1
448,236,236,1
448,526,526,1
449,112,112,1
449,236,236,1
449,526,526,1
450,112,112,1
450,236,236,1
450,526,526,1
451,112,112,1
451,236,236,1
451,526,526,1
452,112,112,1
452,236,236,1
452,526,526,1
453,112,112,1
453,236,236,1
453,526,526,1
454,112,112,1
454,236,236,1
454,526,526,1
455,112,112,1
455,236,236,1
455,526,526,1
456,112,112,1
456,236,236,1
456,526,526,1
457,112,112,1
457,236,236,1
457,526,526,1
458,112,112,1
458,236,236,1
458,526,526,1
459,112,112,1
459,236,236,1
459,526,526,1
460,112,112,1
460,236,236,1
460,526,526,1
461,112,112,1
461,236,236,1
461,526,526,1
462,112,112,1
462,236,236,1
462,526,526,1
463,112,112,1
463,236,236,1
463,526,526,1
464,112,112,1
464,236,236,1
464,526,526,1
465,112,112,1
465,236,236,1
465,526,526,1
466,112,112,1
466,236,236,1
466,526,526,1
467,110,110,1
467,236,236,1
467,398,398,1
467,525,525,1
468,110,110,1
468,236,236,1
468,399,399,1
468,526,526,1
469,110,110,1
469,236,236,1
469,399,399,1
469,526,526,1
470,110,110,1
470,236,236,1
470,526,526,1
471,110,110,1
471,236,236,1
471,398,398,1
471,525,525,1
472,112,112,1
472,236,236,1
472,526,526,1
511,281,281,1
511,561,561,1
512,281,281,1
512,561,561,1
513,281,281,1
513,561,561,1
514,281,281,1
515,281,281,1
516,281,281,1
517,281,281,1
518,281,281,1
519,281,281,1
520,281,281,1
521,281,281,1
522,281,281,1
523,281,281,1
524,281,281,1
525,281,281,1
529,281,281,1
530,281,281,1
531,281,281,1
532,281,281,1
533,281,281,1
534,281,281,1
535,281,281,1
536,281,281,1
538,281,281,1
539,281,281,1
541,112,112,1
549,281,281,1
550,281,281,1
551,281,281,1
552,281,281,1
553,281,281,1
554,281,281,1
554,561,561,1
555,281,281,1
555,561,561,1
556,281,281,1
556,561,561,1
557,281,281,1
557,561,561,1
558,281,281,1
558,561,561,1
559,281,281,1
559,561,561,1
560,281,281,1
560,561,561,1
561,281,281,1
561,561,561,1
562,281,281,1
563,281,281,1
564,281,281,1
565,281,281,1
565,561,561,1
566,281,281,1
566,561,561,1
567,281,281,1
567,561,561,1
568,281,281,1
568,561,561,1
569,281,281,1
569,561,561,1
570,281,281,1
571,281,281,1
572,281,281,1
573,281,281,1
574,281,281,1
599,281,281,1
599,561,561,1
600,281,281,1
600,561,561,1
616,281,281,1
616,561,561,1
629,281,281,1
629,561,561,1
630,281,281,1
630,561,561,1
631,281,281,1
631,561,561,1
632,281,281,1
632,561,561,1
633,281,281,1
633,561,561,1
634,281,281,1
634,561,561,1
635,281,281,1
635,561,561,1
636,281,281,1
636,561,561,1
638,281,281,1
638,561,561,1
639,281,281,1
639,561,561,1
640,281,281,1
640,561,561,1
641,281,281,1
641,561,561,1
642,561,561,1
644,281,281,1
644,561,561,1
645,281,281,1
645,561,561,1
646,281,281,1
646,561,561,1
647,281,281,1
647,561,561,1
648,281,281,1
648,561,561,1
649,281,281,1
649,561,561,1
650,281,281,1
650,561,561,1
651,281,281,1
651,561,561,1
652,281,281,1
652,561,561,1
653,281,281,1
653,561,561,1
657,281,281,1
678,561,561,1
679,281,281,1
679,561,561,1
681,561,561,1
682,561,561,1
692,561,561,1
752,281,281,1
753,281,281,1
754,281,281,1
754,561,561,1
755,281,281,1
756,281,281,1
759,281,281,1
760,281,281,1
761,281,281,1
762,281,281,1
763,281,281,1
764,281,281,1
765,281,281,1
766,281,281,1
827,281,281,1
827,561,561,1
828,279,279,1
828,561,561,1
829,279,279,1
829,561,561,1
830,281,281,1
830,561,561,1
831,281,281,1
831,561,561,1
832,281,281,1
832,561,561,1
833,279,279,1
833,561,561,1
834,281,281,1
834,561,561,1
835,281,281,1
835,561,561,1
836,281,281,1
836,561,561,1
837,278,278,1
837,561,561,1
838,278,278,1
838,561,561,1
839,278,278,1
839,561,561,1
840,278,278,1
840,561,561,1
841,276,276,1
841,561,561,1
842,278,278,1
842,561,561,1
843,279,279,1
843,561,561,1
844,276,276,1
844,561,561,1
845,277,277,1
845,561,561,1
846,277,277,1
846,561,561,1
847,276,276,1
847,561,561,1
848,279,279,1
848,561,561,1
849,281,281,1
849,561,561,1
850,281,281,1
850,561,561,1
851,281,281,1
851,561,561,1
852,281,281,1
852,561,561,1
853,276,276,1
853,561,561,1
854,276,276,1
854,561,561,1
855,278,278,1
855,561,561,1
856,281,281,1
856,561,561,1
857,277,277,1
857,561,561,1
858,276,276,1
858,561,561,1
859,278,278,1
859,561,561,1
860,277,277,1
860,561,561,1
861,278,278,1
861,561,561,1
862,277,277,1
862,561,561,1
863,277,277,1
863,561,561,1
864,281,281,1
864,561,561,1
865,281,281,1
865,561,561,1
866,281,281,1
866,561,561,1
867,281,281,1
867,561,561,1
868,281,281,1
868,561,561,1
869,281,281,1
869,561,561,1
870,281,281,1
870,561,561,1
871,281,281,1
871,561,561,1
872,281,281,1
872,561,561,1
873,281,281,1
874,281,281,1
875,281,281,1
876,281,281,1
876,561,561,1
877,281,281,1
877,561,561,1
878,281,281,1
878,561,561,1
879,281,281,1
879,561,561,1
880,281,281,1
880,561,561,1
881,281,281,1
881,561,561,1
882,281,281,1
882,561,561,1
883,279,279,1
883,561,561,1
884,281,281,1
884,561,561,1
885,281,281,1
885,561,561,1
886,281,281,1
887,281,281,1
888,281,281,1
889,281,281,1
890,281,281,1
892,281,281,1
893,281,281,1
896,281,281,1
898,281,281,1
898,561,561,1
900,281,281,1
901,281,281,1
902,281,281,1
903,281,281,1
904,281,281,1
905,281,281,1
906,281,281,1
908,281,281,1
908,561,561,1
909,281,281,1
909,561,561,1
910,281,281,1
910,561,561,1
911,281,281,1
911,561,561,1
912,281,281,1
912,561,561,1
913,281,281,1
913,561,561,1
914,281,281,1
914,561,561,1
915,281,281,1
915,561,561,1
916,118,118,1
916,561,561,1
917,281,281,1
917,561,561,1
918,281,281,1
918,561,561,1
919,280,280,1
919,561,561,1
920,281,281,1
920,561,561,1
921,281,281,1
921,561,561,1
922,281,281,1
922,561,561,1
923,281,281,1
924,281,281,1
925,281,281,1
926,281,281,1
927,281,281,1
927,561,561,1
928,281,281,1
928,561,561,1
929,281,281,1
930,281,281,1
931,281,281,1
932,281,281,1
933,281,281,1
934,281,281,1
935,281,281,1
936,281,281,1
938,281,281,1
939,281,281,1
939,561,561,1
940,275,275,1
940,283,283,1
940,561,561,1
941,275,275,1
941,283,283,1
941,561,561,1
943,281,281,1
943,561,561,1
944,281,281,1
945,281,281,1
945,561,561,1
946,281,281,1
946,561,561,1
947,281,281,1
947,561,561,1
948,281,281,1
948,561,561,1
949,281,281,1
949,561,561,1
950,281,281,1
950,561,561,1
951,281,281,1
951,561,561,1
952,281,281,1
952,561,561,1
953,281,281,1
953,561,561,1
954,281,281,1
954,561,561,1
955,281,281,1
955,561,561,1
956,281,281,1
956,561,561,1
957,281,281,1
957,561,561,1
958,281,281,1
958,561,561,1
959,281,281,1
959,561,561,1
960,281,281,1
960,561,561,1
961,281,281,1
961,561,561,1
962,281,281,1
962,561,561,1
963,281,281,1
963,561,561,1
964,281,281,1
964,561,561,1
965,281,281,1
965,561,561,1
966,281,281,1
966,561,561,1
967,281,281,1
967,561,561,1
968,281,281,1
968,561,561,1
969,281,281,1
969,561,561,1
970,281,281,1
970,561,561,1
971,281,281,1
971,561,561,1
972,281,281,1
972,561,561,1
973,281,281,1
973,561,561,1
974,281,281,1
974,561,561,1
975,281,281,1
975,561,561,1
976,281,281,1
976,561,561,1
977,281,281,1
977,561,561,1
978,281,281,1
978,561,561,1
979,281,281,1
979,561,561,1
980,281,281,1
980,561,561,1
981,281,281,1
981,561,561,1
982,281,281,1
982,561,561,1
983,281,281,1
983,561,561,1
984,281,281,1
984,561,561,1
985,281,281,1
985,561,561,1
986,281,281,1
986,561,561,1
987,281,281,1
987,561,561,1
988,281,281,1
988,561,561,1
989,281,281,1
989,561,561,1
990,281,281,1
990,561,561,1
991,281,281,1
991,561,561,1
992,281,281,1
992,561,561,1
993,281,281,1
993,561,561,1
994,281,281,1
994,561,561,1
995,281,281,1
995,561,561,1
996,281,281,1
996,561,561,1
997,281,281,1
997,561,561,1
998,281,281,1
998,561,561,1
999,281,281,1
999,561,561,1
1000,281,281,1
1000,561,561,1
1001,281,281,1
1001,561,561,1
1002,281,281,1
1002,561,561,1
1003,281,281,1
1003,561,561,1
1004,281,281,1
1004,561,561,1
1005,281,281,1
1005,561,561,1
1006,281,281,1
1006,561,561,1
1007,281,281,1
1007,561,561,1
1008,281,281,1
1008,561,561,1
1009,281,281,1
1009,561,561,1
1010,281,281,1
1010,561,561,1
1011,281,281,1
1011,561,561,1
1012,281,281,1
1012,561,561,1
1013,281,281,1
1013,561,561,1
1014,281,281,1
1014,561,561,1
1015,281,281,1
1015,561,561,1
1016,281,281,1
1016,561,561,1
1017,281,281,1
1017,561,561,1
1018,281,281,1
1018,561,561,1
1019,281,281,1
1019,561,561,1
1020,281,281,1
1020,561,561,1
1021,281,281,1
1021,561,561,1
1022,281,281,1
1022,561,561,1
1023,281,281,1
1023,561,561,1
1024,281,281,1
1024,561,561,1
1025,281,281,1
1025,561,561,1
1026,281,281,1
1026,561,561,1
1027,281,281,1
1027,561,561,1
1028,281,281,1
1028,561,561,1
1029,281,281,1
1029,561,561,1
1030,281,281,1
1030,561,561,1
1031,281,281,1
1031,561,561,1
1032,281,281,1
1032,561,561,1
1033,281,281,1
1033,561,561,1
1034,281,281,1
1034,561,561,1
1035,281,281,1
1035,561,561,1
1036,281,281,1
1036,561,561,1
1037,281,281,1
1037,561,561,1
1038,281,281,1
1038,561,561,1
1039,281,281,1
1039,561,561,1
1040,281,281,1
1040,561,561,1
1041,281,281,1
1041,561,561,1
1042,281,281,1
1042,561,561,1
1043,281,281,1
1043,561,561,1
1044,281,281,1
1044,561,561,1
1045,281,281,1
1045,561,561,1
1046,281,281,1
1046,561,561,1
1047,281,281,1
1047,561,561,1
1048,281,281,1
1048,561,561,1
1049,281,281,1
1049,561,561,1
1050,281,281,1
1050,561,561,1
1051,281,281,1
1051,561,561,1
1052,281,281,1
1052,561,561,1
1053,281,281,1
1053,561,561,1
1054,281,281,1
1054,561,561,1
1055,281,281,1
1055,561,561,1
1056,281,281,1
1056,561,561,1
1057,281,281,1
1057,561,561,1
1058,281,281,1
1058,561,561,1
1059,281,281,1
1059,561,561,1
1060,281,281,1
1060,561,561,1
1061,281,281,1
1061,561,561,1
1062,281,281,1
1062,561,561,1
